title,주소,Latitude,Longitude
수원 광교SK레이크점,"경기 수원시 영통구 법조로 25 (하동, 광교 SK VIEW Lake)",37.2874349,127.0596505
스마트해법 북아현점,서울 서대문구 북아현동 180-27,37.5629409,126.9549706
스마트해법수학 왕지점,"전남 순천시 연동남길 39 (조례동, 서영옥머리마당)",34.9576918,127.5333967
DMC스마트해법학원,서울 서대문구 증가로 150 (남가좌동),37.5699673,126.9166261
sk view,"서울 영등포구 여의대방로35가길 19 (신길동, 보라매 SK VIEW)",37.5028448,126.9173764
가경아이파크점,충북 청주시 흥덕구 서현로 60,36.6167827,127.4286454
강남 Abu Dhabi Academy,"서울 강남구 영동대로 22 (일원동, 디에이치 자이 개포)",37.490887,127.0752908
강남 개포스마트스퀘어점,"서울 강남구 선릉로 8 (개포동, 래미안블레스티지)",37.4812262,127.0643915
강남 개포주공5단지교실,"서울 강남구 삼성로4길 17 (개포동, 주공아파트)",37.4876225,127.0685038
강남 구룡스마트플레이스점,"서울 강남구 개포로 265 (개포동, 개포동 메디시스빌딩)",37.4809469,127.0529676
강남 논현아카데미점,서울 강남구 논현동 167-17,37.5076551,127.0256975
강남 데시앙포레학습관,"서울 강남구 광평로34길 55 (수서동, 강남데시앙포레아파트)",37.4795828,127.0885477
강남 도곡언주해법수학,서울 강남구 도곡동 903-9,37.4868791,127.0395007
강남 도성해법학습관,"서울 강남구 역삼로 315-1 (역삼동, 개나리SK뷰)",37.5013509,127.0499093
강남 래미안포레교실,"서울 강남구 밤고개로21길 25 (자곡동, 래미안포레아파트)",37.4748705,127.1098391
강남 매쓰점프점,서울 강남구 헌릉로570길 30,37.463158,127.1029355
강남 삼성아카데미점,서울 강남구 삼성동 7-3,37.5161513,127.0434365
강남 세명학습관점,서울 강남구 자곡로3길 21,37.4712792,127.0886878
강남 스마트대치해법수학점,서울 강남구 삼성로57길 5 (대치동),37.497537,127.0713366
강남 스마트플레이스 직영,"서울 강남구 영동대로 22 (일원동, 디에이치 자이 개포)",37.490887,127.0752908
강남 언북연세아카데미점,서울 강남구 삼성로135길 41 (청담동),37.5178733,127.0413749
강남 역삼개나리 학습관,"서울 강남구 역삼로 306 (역삼동, 개나리 래미안)",37.498551,127.0464387
강남 역삼해법수학학원,"서울 강남구 언주로 314 (역삼동, 강남프라자)",37.4959548,127.0466573
강남 일원대청점,"서울 강남구 개포로109길 9 (개포동, 대치아파트)",37.49248,127.072482
강남 일원상록학습관,"서울 강남구 광평로10길 15 (일원동, 상록수아파트)",37.4819336,127.082142
강남 일원에이치에듀센터점,"서울 강남구 광평로19길 10 (수서동, 까치마을아파트)",37.4846579,127.0875723
강남 일원청솔 학습관,"서울 강남구 광평로10길 50 (일원동, 청솔빌리지)",37.4805122,127.082524
강남 자곡래미안학습관,"서울 강남구 자곡로 101 (자곡동, 래미안 강남힐즈)",37.4741294,127.0940867
강남 포이점,서울 강남구 개포로22길 94,37.475177,127.0529859
강동 강일 스마트플레이스점,서울 강동구 아리수로93나길 80,37.5721986,127.1742256
강동 강일연세학원점,"서울 강동구 아리수로93나길 26 (강일동, 성산타워)",37.5719244,127.1735018
강동 고덕그라시움1호점,"서울 강동구 고덕로 333 (고덕동, 고덕그라시움)",37.557774,127.1639117
강동 고덕베네루체점,서울 강동구 상일동 188,37.5474664,127.1682362
강동 고덕아이파크점,서울 강동구 고덕동 535-7,37.560867,127.1542902
강동 고덕아카데미점,"서울 강동구 양재대로 1708 (고덕동, 아남아파트)",37.5578863,127.145974
강동 고덕연세아카데미,서울 강동구 상일로 55,37.5523884,127.1706617
강동 고래힐점,"서울 강동구 아리수로50길 50 (고덕동, 래미안힐스테이트고덕)",37.5602282,127.1493354
강동 둔촌글로벌학원점,서울 강동구 둔촌동 148-2,37.5285368,127.1426285
강동 명일솔베뉴점,"서울 강동구 양재대로 1650 (명일동, 래미안 솔베뉴)",37.5532127,127.1454379
강동 성내1동삼성점,"서울 강동구 풍성로 136 (성내동, 성내동삼성아파트)",37.5307363,127.1259006
강동 성일초교점,서울 강동구 성내동 543-1,37.5286,127.1276676
강동 암사롯데교실점,"서울 강동구 고덕로 133 (암사동, 강동롯데캐슬퍼스트아파트)",37.557252,127.144519
강동 좋은수학학원점,"서울 강동구 양재대로 1592 (명일동, 인터하우스)",37.547563,127.1437064
강동 투플러스학원점,서울 강동구 천호동 293-14,37.5467966,127.1341652
강동 프라이어팰리스점,"서울 강동구 고덕로 130 (암사동, 프라이어팰리스)",37.554601,127.139343
강북 SK북한산해법수학,"서울 강북구 삼양로19길 157 (미아동, 에스케이북한산시티아파트)",37.617384,127.0151934
강북 도봉의정부양주지사,"경기 의정부시 부용로 105 (금오동, 프레티넘프라자2)",37.7513482,127.0695738
강북 미아벽산점,"서울 강북구 솔샘로 167 (미아동, 벽산라이브파크)",37.6201236,127.011237
강북 미아송천초해법수학점,서울 강북구 미아동 637-51,37.6143485,127.023481
강북 백운초교점,서울 강북구 우이동 100-8,37.6541613,127.0126151
강북 번동꿈의숲해법수학점,서울특별시 강북구 월계로37길 43,37.6240689,127.0453986
강북 수유벽산점,서울 강북구 수유동 186-11,37.641385,127.0205358
강북 인수엘리트해법수학점,서울 강북구 인수봉로77길 20 (수유동),37.6445546,127.0097675
강북 인수초교점,"서울 강북구 인수봉로 276 (수유동, 인덕빌딩)",37.643276,127.011103
강서 공진초교연학원점,"서울 강서구 공항대로 140 (마곡동, 마곡엠밸리12단지)",37.5592847,126.8228299
강서 내발산점,"서울 강서구 우장산로 24 (내발산동, 우진빌딩)",37.554411,126.8398062
강서 방화엘리트학원점,"서울 강서구 양천로24길 78 (방화동, 백호빌딩)",37.5813617,126.825481
강서 스마트해법갈산초점,서울 양천구 목동남로4길 51,37.5093103,126.8670692
강서 스마트해법발산초점,"서울 강서구 강서로45나길 60 (내발산동, 광남아파트)",37.5506553,126.8357968
강서 스마트해법백석초점,서울 강서구 공항대로55길 17 (등촌동),37.5436916,126.8573348
강서 스마트해법수명산점,서울 강서구 내발산동 750-1,37.5532267,126.8263944
강서 스마트해법수학염동초점,서울 강서구 양천로73가길 19,37.5503535,126.874796
강서 스마트해법어썸에듀학원,서울 강서구 개화동로23길 94,37.565444,126.8104645
강서 스마트해법염경초점,서울 강서구 염창동 66-9,37.5555657,126.8702982
강서 스마트해법염동초점,"서울 강서구 양천로71길 8 (염창동, 대영빌딩)",37.5497572,126.8752023
강서 스마트해법학원방화동점,서울 강서구 방화동 571-49,37.5736474,126.8132842
강서 화곡우장산아이파크점,"서울 강서구 강서로 266 (화곡동, 우장산아이파크이편한세상아파트)",37.5499888,126.8380625
강서 힐스테이트점,"서울 강서구 우현로 67 (화곡동, 강서힐스테이트)",37.5467999,126.8401539
강원 동해평릉점,"강원 동해시 하평로 72 (평릉동, 수디자인빌딩)",37.5316431,129.1130414
강원 신철원점,"강원 철원군 갈말읍 명성로149번길 10 (지포리, 금강산타운)",38.1452639,127.307244
강원 영월점,강원 영월군 영월읍 하송안길 116 (영흥리),37.1831762,128.4690442
강원 이도주공점,"강원 동해시 이원길 180-2 (이도동, 이도주공아파트)",37.4785856,129.1115155
강원 평창중앙점,강원 평창군 평창읍 백오로 116 (하리),37.3675309,128.396321
강원 한솔초교점,강원 강릉시 하평4길 35-1 (포남동),37.7725183,128.915404
강원 홍천점,강원 홍천군 홍천읍 학명루길1길 7 (희망리),37.6930034,127.8861085
강원 횡성성북교실,강원 횡성군 횡성읍 읍마북로 6 (읍상리),37.4896352,127.9938256
강원 횡성초교점,강원 횡성군 횡성읍 교항리 54-3,37.485952,127.9811277
개봉초해법학원,서울 구로구 구로동 1263,37.5034978,126.8842102
거제 대동다숲점,"경남 거제시 상동7길 30 (상동동, 대동 다숲아파트)",34.8684678,128.6302675
거제 덕산5차점,"경남 거제시 옥포로 315 (옥포동, 옥포5차덕산타운)",34.9019332,128.6849636
거제 덕산베스트타운점,"경남 거제시 상동1길 15-9 (상동동, 덕산3차베스트타운)",34.8624102,128.6403721
거제 삼룡초점,"경남 거제시 거제중앙로 1537 (문동동, 대풍빌)",34.8579648,128.6554162
거제 수월자이점,"경남 거제시 해명로 52 (수월동, 거제자이)",34.8924169,128.6433209
거제 신현고려1차점,"경남 거제시 서문로1길 20 (고현동, 고려아파트)",34.8785818,128.6240807
거제 아주대동다숲2차점,"경남 거제시 아주2로2길 13 (아주동, 대동 다숲 아파트 2단지)",34.869379,128.6848031
거제 아주덕산1차점,"경남 거제시 아주로 100-10 (아주동, 거제덕산아내프리미엄)",34.8658067,128.6856904
거제 아주점,경남 거제시 아주2로 111-1 (아주동),34.869311,128.6792707
거제 옥포e편한점,"경남 거제시 성산로 33 (옥포동, e편한세상 옥포아파트 1단지)",34.899222,128.6956661
거제 옥포하이엔드점,경남 거제시 옥포중앙로 76 (옥포동),34.8961668,128.6941258
거제 장평유진점,경남 거제시 장평2로 22 (장평동),34.8867568,128.6088044
거제 중앙초점,"경남 거제시 중곡2로 89-1 (고현동, 거제2차덕산베스트타운)",34.8971394,128.6353699
경남 거창점,경남 거창군 거창읍 거열로4길 123 (가지리),35.6939861,127.907113
경남 고성대초점,경남 고성군 고성읍 동외로151번길 57 (성내리),34.9751273,128.3228779
경남 고성캠퍼스점,경남 고성군 고성읍 남포로 141 (서외리),34.9757744,128.3201162
경남 남지점,경남 창녕군 남지읍 낙동로 446 (남지리),35.3899699,128.4798256
경남 남해점,경남 남해군 남해읍 화전로 75-3,34.8380255,127.8939462
경남 산청점,경남 산청군 산청읍 산청리 280-6,35.4159956,127.875741
경남 의령부림점,경남 의령군 부림면 한지32길 1 (신반리),35.4648387,128.3224094
경남 의령점,경남 의령군 의령읍 중동리 390-8,35.3192644,128.262348
경북 고령점,경북 고령군 대가야읍 쾌빈3길 18 (쾌빈리),35.7336935,128.2702594
