title,주소,Latitude,Longitude,지번
푸르넷공부방,경기 광명시 오리로 374,37.4357838,126.879691,(지번) 소하동 1242-13
푸르넷 소하공부방,경기 광명시 소하일로52번길 29 102호,37.4486814,126.8903469,(지번) 소하동 1311-13
푸르넷공부방,경기 안양시 만안구 충훈로71번길 36,37.4059943,126.8992176,(지번) 석수동 782-9
푸르넷공부방,경기 안양시 만안구 충훈로 51 석수아이파크 109동,37.4062876,126.901471,(지번) 석수동 794
푸르넷 수정공부방,경기 광명시 하안로 364 904동 804호,37.4676552,126.8774147,(지번) 하안동 13
푸르넷에듀 하안9단지공부방,경기 광명시 하안로 364,37.4676552,126.8774147,(지번) 하안동 13
푸르넷 관악공부방,서울 관악구 관악로30길 12 105동,37.4849777,126.9595277,(지번) 봉천동 1706
푸르넷공부방,경기 군포시 금산로 26-10,37.3650314,126.9408373,(지번) 금정동 726-21
푸르넷 고척대우공부방,서울 구로구 고척로52길 53,37.5030244,126.8554769,(지번) 고척동 296
푸르넷공부방,서울 구로구 부일로1길 110,37.4952199,126.8182374,(지번) 온수동 75-4
푸르넷공부방,경기 시흥시 호현로 92-8,37.4474375,126.7882942,(지번) 대야동 460-17
푸르넷공부방,서울 양천구 목동로19길 42-1,37.5246574,126.8597154,(지번) 신정동 986-21
푸르넷공부방,서울 양천구 목동중앙북로16길 56-5,37.5435248,126.8735429,(지번) 목동 544-3
푸르넷공부방,경기 시흥시 새재로7번길 19,37.3812944,126.7998404,(지번) 장현동 537-3
푸르넷 대명공부방,경기 의왕시 포도원로 46 204동 304호,37.3617854,126.9670898,(지번) 오전동 28
푸르넷공부방,경기 광명시 오리로 374,37.4357838,126.879691,(지번) 소하동 1242-13
푸르넷 소하공부방,경기 광명시 소하일로52번길 29 102호,37.4486814,126.8903469,(지번) 소하동 1311-13
푸르넷공부방,경기 안양시 만안구 충훈로71번길 36,37.4059943,126.8992176,(지번) 신정동 936-28
푸르넷공부방,서울 강서구 강서로48길 53 지하1층 B102호,37.5524661,126.8395093,(지번) 내발산동 674-13
푸르넷 공부방,서울 마포구 와우산로29라길 9-3 102호,37.5552355,126.9273882,(지번) 서교동 334-37
푸르넷공부방,서울 은평구 갈현로17길 11-6,37.6111246,126.9098994,(지번) 구산동 159-9
푸르넷공부방 발산,서울 강서구 강서로45라길 55-22,37.5504841,126.8332354,(지번) 내발산동 710-8
푸르넷공부방,서울 강동구 양재대로123길 47-10,37.5435756,127.1389335,(지번) 천호동 48-10
푸르넷공부방,경기 부천시 오정로252번길 80 4층,37.5286857,126.790428,(지번) 오정동 114-54
푸르넷공부방,경기 부천시 부천로476번가길 76 2층,37.5285916,126.7866013,(지번) 오정동 557
푸르넷공부방,경기 안산시 상록구 샘골로 148,37.2969954,126.8634009,(지번) 본오동 872-19
푸르넷공부방,경기 안산시 상록구 장화로 24,37.2843067,126.8512069,(지번) 사동 1407
푸르넷공부방,경기 성남시 수정구 태평로58번길 1,37.4492526,127.1333137,(지번) 태평동 532
푸르넷공부방,경기 수원시 장안구 영화로71번길 14 2층,37.2927235,127.0059105,(지번) 정자동 69-14
푸르넷공부방,경기 고양시 덕양구 지도로14번길 20,37.6181867,126.8256984,(지번) 토당동 886-4
푸르넷공부방,서울 마포구 만리재옛길 28,37.5463079,126.956131,(지번) 신공덕동 8-3
푸르넷공부방,경기 부천시 원미로 134 2층,37.4944434,126.7915103,(지번) 원미동 76-2
푸르넷 신정동공부방,서울 양천구 오목로23길 32 골든빌,37.5270463,126.8503334,(지번) 상대원동 2492
푸르넷공부방,서울 강북구 인수봉로20가길 16,37.6258971,127.0131005,(지번) 미아동 791-3056
푸르넷공부방,경기 성남시 분당구 발이봉로11번길 1,37.3656084,127.1272504,(지번) 수내동 90-16
용호의꿈 푸르넷공부방,경기 군포시 용호2로 11 주공아파트 202동 202호,37.3434571,126.9409511,(지번) 당동 874
푸르넷공부방,인천 서구 승학로 567,37.5667077,126.6826228,(지번) 검암동 507-8
푸르넷 공부방,경기 용인시 기흥구 마북로 124-9 교동마을 현대홈타운 102동 602호,37.3009274,127.1230755,(지번) 마북동 630
푸르넷공부방 벨섬시티점,경기 수원시 권선구 호매실로218번길 22 호매실마을14단지 벨섬시티,37.262649,126.957276,(지번) 호매실동 1380
푸르넷공부방,경기 고양시 덕양구 세솔로 122-12,37.6546942,126.8859032,(지번) 삼송동 298-1
푸르넷,서울 마포구 만리재옛길 23 금성출판사,37.5462546,126.9554342,(지번) 공덕동 242-63
푸르넷공부방,경기 화성시 봉담읍 와우로34번길 11 아이파크 107동,37.2129664,126.9707928,(지번) 봉담읍 와우리 590
푸르넷공부방,경기 용인시 기흥구 기흥역로58번길 56 301동,37.272172,127.1217523,(지번) 구갈동 46-11
푸르넷공부방학원,경기 시흥시 군자로487번길 3,37.3468226,126.7842818,(지번) 거모동 1726-9
오정푸르넷공부방,경기 부천시 오정로252번길 66-15 에리트아파트 108호,37.5280938,126.7897223,(지번) 오정동 549
푸르넷공부방,서울 강동구 풍성로63길 31 101호,37.5296896,127.1390357,(지번) 둔촌동 494-4
푸르넷공부방,경기 용인시 수지구 심곡로 71,37.3095576,127.080487,(지번) 상현동 95-2
푸르넷공부방,경기 성남시 중원구 박석로85번길 28 2층,37.4385751,127.1627023,(지번) 상대원동 2492
푸르넷공부방,서울 강북구 인수봉로20가길 16,37.6258971,127.0131005,(지번) 미아동 791-3056
푸르넷공부방,경기 성남시 분당구 발이봉로11번길 1,37.3656084,127.1272504,(지번) 수내동 90-16
용호의꿈 푸르넷공부방,경기 군포시 용호2로 11 주공아파트 202동 202호,37.3434571,126.9409511,(지번) 당동 874
푸르넷공부방,인천 서구 승학로 567,37.5667077,126.6826228,(지번) 검암동 507-8
푸르넷 공부방,경기 용인시 기흥구 마북로 124-9 교동마을 현대홈타운 102동 602호,37.3009274,127.1230755,(지번) 마북동 630
푸르넷공부방 벨섬시티점,경기 수원시 권선구 호매실로218번길 22 호매실마을14단지 벨섬시티,37.262649,126.957276,(지번) 호매실동 1380
푸르넷공부방,경기 고양시 덕양구 세솔로 122-12,37.6546942,126.8859032,(지번) 삼송동 298-1
푸르넷,서울 마포구 만리재옛길 23 금성출판사,37.5462546,126.9554342,(지번) 공덕동 242-63
푸르넷공부방,경기 화성시 봉담읍 와우로34번길 11 아이파크 107동,37.2129664,126.9707928,(지번) 봉담읍 와우리 590
푸르넷공부방,경기 용인시 기흥구 기흥역로58번길 56 301동,37.272172,127.1217523,(지번) 구갈동 46-11
푸르넷공부방학원,경기 시흥시 군자로487번길 3,37.3468226,126.7842818,(지번) 거모동 1726-9
오정푸르넷공부방,경기 부천시 오정로252번길 66-15 에리트아파트 108호,37.5280938,126.7897223,(지번) 오정동 549
푸르넷공부방,서울 강동구 풍성로63길 31 101호,37.5296896,127.1390357,(지번) 둔촌동 494-4
푸르넷공부방,경기 용인시 수지구 심곡로 71,37.3095576,127.080487,(지번) 상현동 95-2
푸르넷공부방,경기 성남시 중원구 박석로85번길 28 2층,37.4385751,127.1627023,(지번) 상대원동 2492
푸르넷공부방,서울 강북구 인수봉로20가길 16,37.6258971,127.0131005,(지번) 미아동 791-3056
푸르넷공부방,경기 성남시 분당구 발이봉로11번길 1,37.3656084,127.1272504,(지번) 수내동 90-16
용호의꿈 푸르넷공부방,경기 군포시 용호2로 11 주공아파트 202동 202호,37.3434571,126.9409511,(지번) 당동 874
푸르넷공부방,인천 서구 승학로 567,37.5667077,126.6826228,(지번) 검암동 507-8
푸르넷 공부방,경기 용인시 기흥구 마북로 124-9 교동마을 현대홈타운 102동 602호,37.3009274,127.1230755,(지번) 마북동 630
