지역,행정구역별,2017,2018,2019,2020,2021,2022
서울특별시,종로구,60257,58800,57498,56258,55087,53537
서울특별시,중구,39008,38546,37968,37344,36209,34946
서울특별시,용산구,32769,31589,30400,29290,28532,27552
서울특별시,성동구,56128,55521,54277,52763,51649,50768
서울특별시,광진구,75173,73913,72904,71684,70450,69065
서울특별시,동대문구,105514,104519,103339,101697,100156,98239
서울특별시,중랑구,44088,42246,40623,38919,37553,37113
서울특별시,성북구,134510,132643,130633,128923,127456,124945
서울특별시,강북구,26109,24866,23510,22642,21896,21022
서울특별시,도봉구,41942,40265,38631,36877,35655,34477
서울특별시,노원구,132912,127095,122472,119447,116205,112240
서울특별시,은평구,54145,51674,49527,47467,45968,44436
서울특별시,서대문구,99382,98644,98721,98693,99063,98058
서울특별시,마포구,61684,60646,60139,60255,59709,58485
서울특별시,양천구,62713,60063,57631,56265,55528,53936
서울특별시,강서구,65150,63585,61303,58869,56577,54789
서울특별시,구로구,57036,55177,53824,52444,51060,49968
서울특별시,금천구,20537,19703,18903,18047,17316,16885
서울특별시,영등포구,31685,30529,29369,28741,29039,28877
서울특별시,동작구,81217,81069,80095,79156,78100,76776
서울특별시,관악구,60683,58993,56730,55105,53376,51743
서울특별시,서초구,52582,51320,49771,48613,48477,47543
서울특별시,강남구,67120,64634,62555,62604,62775,62423
서울특별시,송파구,77057,74622,72581,70765,69991,69743
서울특별시,강동구,48211,46179,43971,46611,47876,47471
부산광역시,중구,4366,3974,3631,3406,3300,3172
부산광역시,서구,10956,10486,10000,9560,9558,9328
부산광역시,동구,8549,7997,7552,7458,7172,6801
부산광역시,영도구,25024,24088,23039,22323,21675,20900
부산광역시,부산진구,77297,74906,72336,68768,66600,63945
부산광역시,동래구,35667,33855,32652,32392,32208,32820
부산광역시,남구,86651,84625,83057,81207,79283,76591
부산광역시,북구,41611,39838,37323,34985,33390,31852
부산광역시,해운대구,57848,55528,52586,50209,48607,47384
부산광역시,사하구,68520,65818,63369,61459,59602,57760
부산광역시,금정구,76513,75267,72994,71335,68964,66238
부산광역시,강서구,14974,16293,17864,18974,20652,22217
부산광역시,연제구,24186,23808,23433,22947,22499,21824
부산광역시,수영구,14778,14220,13632,13275,12887,12675
부산광역시,사상구,58879,57313,55962,54258,51214,47837
부산광역시,기장군,21796,22210,22683,23042,24038,24284
대구광역시,중구,11114,10722,10372,10084,9909,9895
대구광역시,동구,36595,35739,34893,33882,33428,32990
대구광역시,서구,16731,15541,14401,13312,12810,12220
대구광역시,남구,28054,26665,25301,24640,22771,22161
대구광역시,북구,118172,115222,111702,109286,105518,102288
대구광역시,수성구,73386,69272,65332,63368,61882,60109
대구광역시,달서구,126364,121129,116648,112885,109078,104701
대구광역시,달성군,29587,31920,33267,33960,35580,36527
인천광역시,중구,22239,21903,22618,23026,23052,23362
인천광역시,동구,14843,14443,14160,13462,12788,12036
인천광역시,남구,80333,79235,-,-,-,-
인천광역시,연수구,68592,68566,68593,69970,72906,73072
인천광역시,남동구,67957,66850,64830,63427,61657,60310
인천광역시,부평구,60488,57107,54219,52127,50178,48502
인천광역시,계양구,44595,41810,39517,37583,36418,34555
인천광역시,서구,72785,73026,72394,71426,70904,74297
인천광역시,미추홀구,-,-,77064,75087,73947,72511
인천광역시,강화군,6516,6866,6443,6391,6243,6133
인천광역시,옹진군,1309,1311,1227,1140,1098,1119
광주광역시,동구,46686,45234,44092,43633,42168,41068
광주광역시,서구,38521,37195,35674,34221,32990,31728
광주광역시,남구,54390,52325,49996,48850,48142,47231
광주광역시,북구,99384,97870,95151,92604,90032,87880
광주광역시,광산구,92684,90981,88550,87583,85586,83424
대전광역시,동구,69034,67202,65410,63337,60920,58152
대전광역시,중구,37214,35094,33239,31608,29695,28483
대전광역시,서구,100064,97026,93927,92115,89771,87856
대전광역시,유성구,105959,103614,100781,98334,95416,93053
대전광역시,대덕구,39012,37827,36650,34253,33415,33112
울산광역시,중구,28681,27473,26183,24950,24497,23734
울산광역시,남구,64498,60967,58111,56494,55400,54029
울산광역시,동구,31520,30916,30233,30128,29937,29415
울산광역시,북구,31566,31857,32370,33397,33779,34119
울산광역시,울주군,37629,36817,35930,34578,33637,32584
경기도,수원시,210232,205724,199608,194843,190772,186118
경기도,성남시,166326,161959,156409,152569,150295,148143
경기도,의정부시,69585,67316,65782,63850,63445,62704
경기도,안양시,111843,106748,101670,98896,96739,94765
경기도,부천시,131458,127681,122846,118729,115256,112297
경기도,광명시,43890,41964,39772,37641,35771,34514
경기도,평택시,80807,79838,79222,79728,81277,82529
경기도,동두천시,14083,13496,12869,12399,11955,11491
경기도,안산시,124497,117647,111902,107872,104989,101910
